0 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
15 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
2251 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
2266 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
2269 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev cb482944667f96f43c89932dcb66d61ee7e4ac1d]
3124 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
3342 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0001
3914 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0001
4170 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0001/
4171 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0001
15360 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0001 running in uber mode : false
571210 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 93% reduce 17%
576221 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 94% reduce 17%
585239 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 95% reduce 17%
590248 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 95% reduce 19%
592253 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 19%
600268 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 96% reduce 21%
603274 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 21%
606284 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 97% reduce 23%
611294 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 23%
613298 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 98% reduce 25%
618307 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 25%
621313 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 26%
627325 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 27%
628327 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 29%
631333 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 29%
634338 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 31%
637344 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 41%
638346 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 48%
639348 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 62%
640350 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 87%
641353 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 90%
642358 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 93%
643360 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 95%
648372 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 100%
648376 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0001 completed successfully
648486 [main] INFO org.apache.hadoop.mapreduce.Job  - Counters: 57
	File System Counters
		FILE: Number of bytes read=770100463
		FILE: Number of bytes written=1556279429
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=11978
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=106
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
		S3: Number of bytes read=7091193454
		S3: Number of bytes written=1353494870
		S3: Number of read operations=0
		S3: Number of large read operations=0
		S3: Number of write operations=0
	Job Counters 
		Killed map tasks=2
		Killed reduce tasks=1
		Launched map tasks=106
		Launched reduce tasks=19
		Data-local map tasks=106
		Total time spent by all maps in occupied slots (ms)=715005072
		Total time spent by all reduces in occupied slots (ms)=395707776
		Total time spent by all map tasks (ms)=14895939
		Total time spent by all reduce tasks (ms)=4121956
		Total vcore-milliseconds taken by all map tasks=14895939
		Total vcore-milliseconds taken by all reduce tasks=4121956
		Total megabyte-milliseconds taken by all map tasks=22880162304
		Total megabyte-milliseconds taken by all reduce tasks=12662648832
	Map-Reduce Framework
		Map input records=7012253
		Map output records=3074221
		Map output bytes=1355830055
		Map output materialized bytes=770317233
		Input split bytes=11978
		Combine input records=0
		Combine output records=0
		Reduce input groups=3069917
